"Title","Grid Reference","X (Easting)","Y (Northing)","Latitude","Longitude","Postcode","Address (near)"
"WB1","TG 30785 16574","630785","316574","52.697622","1.4140767","NR12 8TS","Private Rd, Norwich NR12 8TS, UK"
"WB2","TG 30750 16560","630750","316560","52.697515","1.4135443","NR12 8TS","Private Rd, Norwich NR12 8TS, UK"
"WB3","TG 30728 16551","630728","316551","52.697436","1.4132224","NR12 8TS","Private Rd, Norwich NR12 8TS, UK"
"WB4","TG 31266 17169","631266","317169","52.702759","1.4215922","NR12 8TP","Beech Rd, Norwich NR12 8TP, UK"
"WB5","TG 31083 16497","631083","316497","52.696803","1.4184165","NR12 8TS","Private Rd, Norwich NR12 8TS, UK"
"WB6","TG 30703 16346","630703","316346","52.695607","1.4127088","NR12 8TS","Private Rd, Norwich NR12 8TS, UK"
