"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"sample_type","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","kick","kick","kick","kick","kick","kick"
"predator_id","D.vil","D.vil","G.zad","G.zad","D.vil","D.vil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"site","GW","GW","RB","RB","WB","WB","GW","GW","RB","RB","WB","WB","GW","GW","RB","RB","WB","WB"
"time","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct"
"Eucyclops_serrulatus","0","0","0","0","0","0","1","0","2","2","0","0","0","0","0","0","0","0"
"Eudiaptomus_gracilis","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0"
"Eurytemora_affinis","0","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0"
"Keratella","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"Keratella_cochlearis","0","0","0","0","0","0","1","3","1","0","3","6","0","0","0","0","0","0"
"Keratella_quadrata","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0"
"Limnocythere_inopinata","0","0","0","0","0","0","0","2","0","1","2","1","0","0","0","0","0","0"
"Lumbricillus_fennicus","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Macrothrix_sp._HE-364","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"Mesocyclops_leuckarti","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"Nais","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Nais_barbata","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Nais_christinae","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Nais_communis/variabilis_complex_sp._A3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Ophidonais_serpentina","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Philodina_citrina","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Plectus_aquatilis","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"Ploima","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"Polyarthra","0","0","0","0","0","0","3","3","5","3","6","6","0","0","0","0","0","0"
"Polyarthra_dolichoptera_complex_sp._UO-2013","0","0","0","0","0","0","3","0","0","1","0","6","0","0","0","0","0","0"
"Polyarthra_sp._UO-2013","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Polyarthra_sp._WM-2017a","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Polypedilum_nubeculosum","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0"
"Polypedilum_sp._9_SC","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Potamopyrgus_antipodarum"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 1"," 2"," 0"," 1"," 0","23"," 7"," 1"," 0","33"
"Procladius_ferrugineus","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Radix_balthica","0","0","0","0","0","0","2","4","0","0","0","0","0","4","0","0","0","3"
"Stagnicola","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Synchaeta","0","0","0","0","0","0","0","2","1","3","1","6","0","0","0","0","0","0"
"Synchaeta_cf._tremula/oblonga_UO-2012","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0"
"Synchaeta_pectinata","0","0","0","0","0","0","2","0","1","0","1","1","0","0","0","0","0","0"
"Synchaeta_sp._WM-2017a","0","0","0","0","0","0","0","0","2","0","4","0","0","0","0","0","0","0"
"Tanytarsus_bathophilus","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Tanytarsus_lestagei","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0"
"Uncinais_uncinata","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
